"REF_DATE","GEO","DGUID","Age at time of death","Sex","Leading causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","76","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","94","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","117","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","112","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","111","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","111","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","148","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","135","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","132","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","150","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","123","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","189","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","175","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","207","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","189","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Hyperplasia of prostate [N40]","Number of deaths","Number","223","units","0","v41341120","1.1.1.40.2","224","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","39","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","39","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","39","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","40","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","37","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","39","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","38","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","39","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","39","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","39","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","38","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","38","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","37","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","38","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","38","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Rank of leading causes of death","Number","223","units","0","v41341121","1.1.1.41.1","38","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","12","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","16","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","15","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","13","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","24","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","16","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","20","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","16","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","16","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","17","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","20","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","26","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","42","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","36","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","30","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Inflammatory diseases of female pelvic organs [N70-N76]","Number of deaths","Number","223","units","0","v41341122","1.1.1.41.2","35","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","37","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","37","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","38","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","37","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","38","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","37","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","37","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","37","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","37","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","37","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","36","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","37","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","38","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","37","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","37","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Rank of leading causes of death","Number","223","units","0","v41341123","1.1.1.42.1","37","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","29","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","25","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","18","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","20","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","23","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","23","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","27","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","27","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","27","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","34","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","33","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","35","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","30","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","40","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","43","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Pregnancy, childbirth and the puerperium [O00-O99]","Number of deaths","Number","223","units","0","v41341124","1.1.1.42.2","46","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","18","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","18","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","18","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","18","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","18","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","18","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","18","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","19","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","18","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","19","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","18","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","20","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","19","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","20","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","20","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Rank of leading causes of death","Number","223","units","0","v41341125","1.1.1.43.1","20","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","1089","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","1132","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","1095","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","1089","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","1129","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","1102","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","1078","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","1035","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","1048","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","1035","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","1018","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","957","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","982","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","1017","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","941","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Certain conditions originating in the perinatal period [P00-P96]","Number of deaths","Number","223","units","0","v41341126","1.1.1.43.2","940","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","18","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","18","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","20","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Rank of leading causes of death","Number","223","units","0","v41341127","1.1.1.44.1","19","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","890","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","901","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","910","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","992","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","996","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","1007","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","996","","","","0"
